label,fish_length_mm,voxel_size_um,omega,oto_vol_mm_bc,oto_vol_pix,oto_sa_pix,sul_vol_pix,sul_sa_pix,gender
otoI48,50,2.024,1.0,0.2213942124,28993484.0,790461.0749,569544.0,198483.6015,I
otoI47,82,2.024,0.9,1.119811957,141059414.0,2515537.522,4762001.0,722993.4122,I
otoI96,96,2.024,0.7,1.87697894,126055624.0,2334486.602,4847115.0,755481.8986,I
otoI59,101,2.024,0.7,2.2167213080000003,128131823.0,2261782.3880000003,3912697.0,649473.4661,I
otoI89,115,2.024,0.6,3.391875195,120902056.0,2253418.159,3553021.0,665031.7089,I
otoI9,130,2.024,0.6,5.068849922,148698004.0,2647080.083,3238913.0,698411.5502,I
otoF75,164,2.53441,0.5,8.802502844,68184852.92285039,1762878.0804888129,1586021.249999724,402665.89943083155,F
otoM30,164,2.38072,0.5,10.16142479,88837289.80554141,2003368.065132832,1767579.7916663948,471987.1291420654,M
otoF176,182,2.381,0.5,11.26478947,96175246.0,2325924.567,2397720.0,549494.093,F
otoM78,182,2.38072,0.5,12.99354884,103592472.83890691,2561067.9014066053,2014152.5416664171,489529.2892264964,M
otoF200,192,2.381,0.5,12.78617471,136439313.0,3413981.305,3031953.0,789270.3859,F
otoM145,192,2.381,0.5,14.74242039,108823806.0,2572976.287,3725928.0,687705.0859999999,M
otoF11,221,2.381,0.4,17.84138912,79287035.0,2385573.91,2068758.0,483617.2822,F
otoM203,221,3.69046,0.6,20.54908696,77788165.0,2300322.069,2699380.0,557884.129,M
otoF34,232,3.69046,0.6,20.01666624,103157752.0,2572795.103,3080292.0,634595.8646,F
otoM19,232,3.333,0.6,23.04598554,115579723.0,2556403.311,3968682.0,738351.1283,M
otoF198,244,3.69046,0.6,22.556103,102334538.0,2700249.647,3178904.0,636015.308,F
otoM150,244,3.333,0.5,25.95978865,80321600.0,2152457.434,2238456.0,538837.3127,M
otoF83,268,8.333,1.0,28.16854732,53005363.0,1757912.138,1586297.0,479028.1498,F
otoM229,268,3.6904199999999996,0.5,32.39603594,78084172.20363663,2006998.9252348782,2668216.3750001136,488105.25857893407,M
otoF73,300,4.762,0.6,,84448354.0,2504234.404,2783248.0,637839.5383,F
otoM278,300,3.6904199999999996,0.4,42.28040206,61667203.914797805,1723511.9088934232,1621900.1249998088,348264.38579337776,M
otoF177,400,8.333,0.9,72.72586372,92086675.0,2548691.473,2156992.0,614825.1866,F
otoM257,400,4.762,0.5,83.38625662,91209555.0,2372594.362,3535213.0,629636.6897,M
